instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options
b-ball,67c5cb2dc43704d11f456537f6a951cb8d5bfb6d74c90fb1827a3bc34abf3586,30,100,209,88,feasible,stopped at the time limit after 600.00s and 336627 nodes,-1.5000000000000004,-1.50000000000001,-1.8181818181818183,0.3181818181818179,0.21212121212121188,1,0,1,336627,600.060551,600.0041531,54e561b,Windows-AMD64,2026-09-17T20:57:45+00:00,
ej,8a427d75008db853496fc29759c11bb77fddd5e0a0934601710f95a0a1935b00,1,3,3,3,feasible,stopped at the time limit after 600.00s and 282526 nodes,41012.0,25508.0,5.0,41007.0,0.999878084463084,0,0,1,282526,600.115326,600.0035441,54e561b,Windows-AMD64,2026-09-17T20:57:45+00:00,
enlight8,012d661241f3ef70a7ae28d89408a030ed0b7c538ccbd1e0d820af49fd7397a3,64,128,352,128,time_limit,"stopped at the time limit after 600.00s and 602963 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 5.000e-01",27.5,27.0,22.6,4.899999999999999,0.17818181818181814,0,0,,602963,600.065980,600.0015421,54e561b,Windows-AMD64,2026-09-17T20:57:45+00:00,
enlight_hard,942168c2126a2a91ae3ec1ededea59bc1af0cad55f94223edf4c03d20e831f66,100,200,560,200,time_limit,"stopped at the time limit after 600.00s and 497455 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 5.000e-01",26.0,37.0,26.0,0.0,0.0,0,0,,497455,600.078296,600.0016872,54e561b,Windows-AMD64,2026-09-17T20:57:45+00:00,
f2gap40400,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,40,400,800,400,optimal,"optimal within the relative gap target (1.020e-02 absolute, 4.912e-07 relative) after 542 nodes; the bound is the best open node's, the tree was not exhausted",20772.0,20771.99999999983,20771.98979591837,0.010204081630945439,4.912421351312073e-07,1,1,1,542,1.649277,1.6328075,54e561b,Windows-AMD64,2026-09-17T20:57:45+00:00,
flugpl,d0b817caf496c95336f64815a740d6a54db1e37924785fcfd3c5da3ee6a15640,18,18,46,11,optimal,"optimal within the relative gap target (2.250e+01 absolute, 2.165e-05 relative) after 469 nodes; the bound is the best open node's, the tree was not exhausted",1201500.0,1201500.0,1201477.5,22.5,1.8726591760299626e-05,1,1,1,469,0.037111,0.0230073,54e561b,Windows-AMD64,2026-09-17T20:57:45+00:00,
gen-ip016,ba1599099bccf0cf78cbc7e4c181f03a3af877b1ba596dac67ad296c81220bee,24,28,672,28,feasible,stopped at the time limit after 600.00s and 336813 nodes,-9446.366450848,-9476.155197,-9499.17827488887,52.811824040871215,0.005590702447937567,0,0,1,336813,600.041928,600.0023609,54e561b,Windows-AMD64,2026-09-17T20:57:45+00:00,
gen-ip054,b5089ebc97c43bd583fcadf30955b8800861044d632d747c0b7ac73f19b9e6f3,27,30,532,30,feasible,stopped at the time limit after 600.00s and 363650 nodes,6853.270505522,6840.96564179,6793.458578395688,59.811927126312185,0.008727501282507223,0,0,1,363650,600.040091,600.0015905,54e561b,Windows-AMD64,2026-09-17T20:57:45+00:00,
gr4x6,ecb539938284a6453b8b94f47dfdd88d635e47cfd2977365f7246bb62ed562c7,34,48,96,24,optimal,,202.34999999999997,202.3499999999979,202.34999999999997,0.0,0.0,1,1,1,71,0.038236,0.0214046,54e561b,Windows-AMD64,2026-09-17T20:57:45+00:00,
gt2,67e1ac3d5504e6b033cecd78b66091e3b64952a90147613d7c87e9652422a005,29,188,376,188,optimal,,21166.0,21165.99999999978,21166.0,0.0,0.0,1,1,1,263,0.125293,0.1091888,54e561b,Windows-AMD64,2026-09-17T20:57:45+00:00,
k16x240b,9419777aed4f6f709363418843c01d447253f8545ab886dda1834c98f82bed71,256,480,960,240,feasible,stopped at the time limit after 600.00s and 335409 nodes,12066.0,11392.99999884458,7544.856000000001,4521.143999999999,0.3747011437095972,0,0,1,335409,600.115523,600.0023546,cca77e0,Windows-AMD64,2026-09-17T21:57:48+00:00,
markshare1,83516aa1a1d503f01fcea273586406486623370158a119164bd2ffa3594d4752,6,62,312,50,feasible,stopped at the time limit after 600.00s and 372652 nodes,31.000000000000078,0.9999999999990905,0.0,31.000000000000078,1.0,0,0,1,372652,600.045500,600.0032603,cca77e0,Windows-AMD64,2026-09-17T21:57:48+00:00,
markshare_4_0,1a1feb04f5637db9f69be53bd6224fcd9fe5b8d750870d9b2002b535d25f4353,4,34,123,30,feasible,stopped at the time limit after 600.00s and 575694 nodes,3.000000000000082,1.0,0.0,3.000000000000082,1.0,0,0,1,575694,600.087505,600.0030872,cca77e0,Windows-AMD64,2026-09-17T21:57:48+00:00,
markshare_5_0,5309e16f917ec25e9f70402a8c039d4595a91c9499f682b1483babfff5f55b4a,5,45,203,40,feasible,stopped at the time limit after 600.00s and 394607 nodes,17.000000000000412,1.0,0.0,17.000000000000412,1.0,0,0,1,394607,600.054663,600.0021626,cca77e0,Windows-AMD64,2026-09-17T21:57:48+00:00,
neos-1425699,66f7ae93f5715a025ebc2d2ff9b90abdd62b7bd1edefc48307ec38c19d9e722e,89,105,430,85,optimal,,3179698977.0,3179698976.996124,3179698977.0,0.0,0.0,1,1,1,3,0.020092,0.0027094,cca77e0,Windows-AMD64,2026-09-17T21:57:48+00:00,
neos-3072252-nete,91c4f0c863a0597d78ae6ad67a22d711f522319eb4365f7d4b9ec6b3102c01d2,432,576,1292,144,feasible,stopped at the time limit after 600.00s and 323963 nodes,11959495.0,11807698.0,10642592.0,1316903.0,0.11011359593360756,0,0,1,323963,600.070704,600.0030465,cca77e0,Windows-AMD64,2026-09-17T21:57:48+00:00,
neos-3611689-kaihu,60004f4ee9cef8f8e7e9d811d5de63e75e6e96b577a54c923ef1971b89a87039,323,421,1014,88,feasible,stopped at the time limit after 600.00s and 406285 nodes,119.0,119.0,117.94000000000001,1.059999999999988,0.008907563025209984,1,0,1,406285,600.052369,600.0015663,cca77e0,Windows-AMD64,2026-09-17T21:57:48+00:00,
neos-5140963-mincio,cf5cafaab453d0d450f7e654dfc85e0492a1a20d9229c0371158a6cc88b1de4b,184,196,834,183,feasible,stopped at the time limit after 600.00s and 363631 nodes,14841.0,14393.0,12148.428571428572,2692.5714285714275,0.18142789761952885,0,0,1,363631,600.058804,600.0038081,cca77e0,Windows-AMD64,2026-09-17T21:57:48+00:00,
neos-5192052-neckar,a683554818c078fca80fe21c0f452463d5d6a051f6898d9da641d5d9f9575906,57,180,545,24,optimal,,-11670000.0,-11670000.0,-11670000.0,0.0,0.0,1,1,1,9,0.021970,0.0042905,cca77e0,Windows-AMD64,2026-09-17T21:57:48+00:00,
neos5,2888e9aeb10a4cf16d3b9ad221302fd3de815ce1454b31e660ebd060589c1072,63,63,2016,53,feasible,stopped at the time limit after 600.00s and 332856 nodes,15.0,15.0,14.249999999999998,0.7500000000000018,0.05000000000000012,1,0,1,332856,600.039852,600.0023041,cca77e0,Windows-AMD64,2026-09-17T21:57:48+00:00,
noswot,f4ac4805801d06bd12e7f67204101928413f7df27fa347bfca1c918e29bca86b,182,128,735,100,feasible,stopped at the time limit after 600.00s and 377370 nodes,-41.0,-41.00000885,-43.00000000000001,2.000000000000007,0.048780487804878224,1,0,1,377370,600.367976,600.0067386,cca77e0,Windows-AMD64,2026-09-17T23:17:50+00:00,
opt1217,21f16d1bd1d917a2b17af6b7b40f6899d75ae4dbf0621f14da71ed2471280124,64,769,1542,768,feasible,stopped at the time limit after 600.00s and 296756 nodes,-15.999999999999993,-16.00000000000012,-20.02139037433155,4.021390374331556,0.2513368983957224,1,0,1,296756,600.336241,600.005812,cca77e0,Windows-AMD64,2026-09-17T23:17:50+00:00,
p0201,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,133,201,1923,201,optimal,,7615.0,7614.999999999997,7615.0,0.0,0.0,1,1,1,691,1.358270,1.3253825,cca77e0,Windows-AMD64,2026-09-17T23:17:50+00:00,
