instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options
b-ball,67c5cb2dc43704d11f456537f6a951cb8d5bfb6d74c90fb1827a3bc34abf3586,30,100,209,88,feasible,stopped at the time limit after 60.00s and 117511 nodes,-1.5000000000000004,-1.50000000000001,-1.8181818181818183,0.3181818181818179,0.21212121212121188,1,0,1,117511,60.026842,60.0012755,b3f1660,Windows-AMD64,2026-09-17T20:33:53+00:00,
ej,8a427d75008db853496fc29759c11bb77fddd5e0a0934601710f95a0a1935b00,1,3,3,3,feasible,stopped at the time limit after 60.00s and 86364 nodes,51015.0,25508.0,1.0,51014.0,0.9999803979221797,0,0,1,86364,60.020958,60.0003708,b3f1660,Windows-AMD64,2026-09-17T20:33:53+00:00,
enlight8,012d661241f3ef70a7ae28d89408a030ed0b7c538ccbd1e0d820af49fd7397a3,64,128,352,128,time_limit,"stopped at the time limit after 60.00s and 173752 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 5.000e-01",19.0,27.0,19.0,0.0,0.0,0,0,,173752,60.026758,60.0010116,b3f1660,Windows-AMD64,2026-09-17T20:33:53+00:00,
enlight_hard,942168c2126a2a91ae3ec1ededea59bc1af0cad55f94223edf4c03d20e831f66,100,200,560,200,time_limit,"stopped at the time limit after 60.00s and 141090 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 5.000e-01",33.0,37.0,24.0,9.0,0.2727272727272727,0,0,,141090,60.031915,60.0010613,b3f1660,Windows-AMD64,2026-09-17T20:33:53+00:00,
f2gap40400,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,40,400,800,400,optimal,"optimal within the relative gap target (1.020e-02 absolute, 4.912e-07 relative) after 542 nodes; the bound is the best open node's, the tree was not exhausted",20772.0,20771.99999999983,20771.98979591837,0.010204081630945439,4.912421351312073e-07,1,1,1,542,1.650208,1.6334216,b3f1660,Windows-AMD64,2026-09-17T20:33:53+00:00,
flugpl,d0b817caf496c95336f64815a740d6a54db1e37924785fcfd3c5da3ee6a15640,18,18,46,11,optimal,"optimal within the relative gap target (2.250e+01 absolute, 2.165e-05 relative) after 469 nodes; the bound is the best open node's, the tree was not exhausted",1201500.0,1201500.0,1201477.5,22.5,1.8726591760299626e-05,1,1,1,469,0.037327,0.0229878,b3f1660,Windows-AMD64,2026-09-17T20:33:53+00:00,
gen-ip016,ba1599099bccf0cf78cbc7e4c181f03a3af877b1ba596dac67ad296c81220bee,24,28,672,28,feasible,stopped at the time limit after 60.00s and 116566 nodes,-9446.366450848,-9476.155197,-9500.365631470506,53.999180622506174,0.0057163969769200166,0,0,1,116566,60.027970,60.0008279,b3f1660,Windows-AMD64,2026-09-17T20:33:53+00:00,
gen-ip054,b5089ebc97c43bd583fcadf30955b8800861044d632d747c0b7ac73f19b9e6f3,27,30,532,30,feasible,stopped at the time limit after 60.00s and 122485 nodes,6859.8671468699995,6840.96564179,6787.493118583035,72.37402828696486,0.01055035421786375,0,0,1,122485,60.026922,60.0010042,b3f1660,Windows-AMD64,2026-09-17T20:33:53+00:00,
gr4x6,ecb539938284a6453b8b94f47dfdd88d635e47cfd2977365f7246bb62ed562c7,34,48,96,24,optimal,,202.34999999999997,202.3499999999979,202.34999999999997,0.0,0.0,1,1,1,71,0.038449,0.0225988,b3f1660,Windows-AMD64,2026-09-17T20:33:53+00:00,
gt2,67e1ac3d5504e6b033cecd78b66091e3b64952a90147613d7c87e9652422a005,29,188,376,188,optimal,,21166.0,21165.99999999978,21166.0,0.0,0.0,1,1,1,263,0.139682,0.1250901,b3f1660,Windows-AMD64,2026-09-17T20:33:53+00:00,
k16x240b,9419777aed4f6f709363418843c01d447253f8545ab886dda1834c98f82bed71,256,480,960,240,feasible,stopped at the time limit after 60.00s and 103980 nodes,12066.0,11392.99999884458,7074.241,4991.759,0.413704541687386,0,0,1,103980,60.034780,60.00066,b3f1660,Windows-AMD64,2026-09-17T20:33:53+00:00,
