instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options
b-ball,67c5cb2dc43704d11f456537f6a951cb8d5bfb6d74c90fb1827a3bc34abf3586,30,100,209,88,feasible,"stopped at the time limit of 59.9996s after 60.01s, 0 iterations, 13055 nodes",-1.5000000000000009,-1.50000000000001,-1.7333333333333336,0.23333333333333273,0.15555555555555506,1,0,1,13055,13,-1.8181818181818183,-1.7333333333333336,0.2667,60.509645,60.0060914,afe165d-dirty,Windows-AMD64,2026-09-18T11:32:26+00:00,enable_root_cuts=true enable_clique_cuts=false enable_zero_half_cuts=false
ej,8a427d75008db853496fc29759c11bb77fddd5e0a0934601710f95a0a1935b00,1,3,3,3,time_limit,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 22433 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 1.100e-01",18450.0,25508.0,1.0,18449.0,0.9999457994579946,0,0,,22433,0,1.0,1.0,0.0000,60.101150,60.0017654,afe165d-dirty,Windows-AMD64,2026-09-18T11:32:26+00:00,enable_root_cuts=true enable_clique_cuts=false enable_zero_half_cuts=false
enlight8,012d661241f3ef70a7ae28d89408a030ed0b7c538ccbd1e0d820af49fd7397a3,64,128,352,128,time_limit,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 24313 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 5.000e-01",25.0,27.0,15.0,10.0,0.4,0,0,,24313,6,1.0000000000000004,1.5000000000000004,0.0208,60.087479,60.0008317,afe165d-dirty,Windows-AMD64,2026-09-18T11:32:26+00:00,enable_root_cuts=true enable_clique_cuts=false enable_zero_half_cuts=false
enlight_hard,942168c2126a2a91ae3ec1ededea59bc1af0cad55f94223edf4c03d20e831f66,100,200,560,200,time_limit,"stopped at the time limit of 59.9998s after 60.13s, 0 iterations, 24251 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 5.000e-01",29.0,37.0,21.0,8.0,0.27586206896551724,0,0,,24251,95,15.500000000000002,16.500000000000004,0.0741,60.223112,60.1326271,afe165d-dirty,Windows-AMD64,2026-09-18T11:32:26+00:00,enable_root_cuts=true enable_clique_cuts=false enable_zero_half_cuts=false
f2gap40400,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,40,400,800,400,optimal,,20772.0,20771.99999999983,20772.0,0.0,0.0,1,1,1,1,40,20650.89815396325,20772.0,1.0000,1.526643,1.4230656,afe165d-dirty,Windows-AMD64,2026-09-18T11:32:26+00:00,enable_root_cuts=true enable_clique_cuts=false enable_zero_half_cuts=false
flugpl,d0b817caf496c95336f64815a740d6a54db1e37924785fcfd3c5da3ee6a15640,18,18,46,11,optimal,,1201500.0,1201500.0,1201499.9999999995,4.656612873077393e-10,3.8756661448833897e-16,1,1,1,725,1,1167185.7255923203,1167875.1663773148,0.0201,1.207828,1.0952911,afe165d-dirty,Windows-AMD64,2026-09-18T11:32:26+00:00,enable_root_cuts=true enable_clique_cuts=false enable_zero_half_cuts=false
gen-ip016,ba1599099bccf0cf78cbc7e4c181f03a3af877b1ba596dac67ad296c81220bee,24,28,672,28,feasible,"stopped at the time limit of 59.9997s after 60.01s, 0 iterations, 9145 nodes",-9428.785976832,-9476.155197,-9502.779946875127,73.99397004312777,0.007847666733017646,0,0,1,9145,0,-9505.628172760296,-9505.628172760296,0.0000,60.239205,60.0105236,afe165d-dirty,Windows-AMD64,2026-09-18T11:32:26+00:00,enable_root_cuts=true enable_clique_cuts=false enable_zero_half_cuts=false
gen-ip054,b5089ebc97c43bd583fcadf30955b8800861044d632d747c0b7ac73f19b9e6f3,27,30,532,30,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 16450 nodes",6889.02046035,6840.96564179,6779.042886872394,109.9775734776058,0.015964181571325793,0,0,1,16450,1,6765.209042727767,6766.160533329095,0.0077,60.127336,60.0000836,afe165d-dirty,Windows-AMD64,2026-09-18T11:32:26+00:00,enable_root_cuts=true enable_clique_cuts=false enable_zero_half_cuts=false
gr4x6,ecb539938284a6453b8b94f47dfdd88d635e47cfd2977365f7246bb62ed562c7,34,48,96,24,optimal,,202.35,202.3499999999979,202.35,0.0,0.0,1,1,1,44,4,185.55,189.95000000000002,0.2619,0.345204,0.2383769,afe165d-dirty,Windows-AMD64,2026-09-18T11:32:26+00:00,enable_root_cuts=true enable_clique_cuts=false enable_zero_half_cuts=false
gt2,67e1ac3d5504e6b033cecd78b66091e3b64952a90147613d7c87e9652422a005,29,188,376,188,optimal,,21166.0,21165.99999999978,21166.0,0.0,0.0,1,1,1,199,11,13460.233074411899,20539.715,0.9187,1.050263,0.9744834,afe165d-dirty,Windows-AMD64,2026-09-18T11:32:26+00:00,enable_root_cuts=true enable_clique_cuts=false enable_zero_half_cuts=false
