instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options
b-ball,67c5cb2dc43704d11f456537f6a951cb8d5bfb6d74c90fb1827a3bc34abf3586,30,100,209,88,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 44851 nodes",-1.5000000000000004,-1.50000000000001,-1.8181818181818183,0.3181818181818179,0.21212121212121188,1,0,1,44851,0,-1.8181818181818183,-1.8181818181818183,0.0000,60.385421,60.000665,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,
ej,8a427d75008db853496fc29759c11bb77fddd5e0a0934601710f95a0a1935b00,1,3,3,3,time_limit,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 28019 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 4.989e-01",23045.0,25508.0,1.0,23044.0,0.9999566066391842,0,0,,28019,0,1.0,1.0,0.0000,60.095198,60.0046973,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,
enlight8,012d661241f3ef70a7ae28d89408a030ed0b7c538ccbd1e0d820af49fd7397a3,64,128,352,128,time_limit,"stopped at the time limit of 59.9997s after 60.01s, 0 iterations, 38568 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 5.000e-01",19.5,27.0,15.0,4.5,0.23076923076923078,0,0,,38568,0,1.0000000000000004,1.0000000000000004,0.0000,60.112354,60.0060504,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,
enlight_hard,942168c2126a2a91ae3ec1ededea59bc1af0cad55f94223edf4c03d20e831f66,100,200,560,200,time_limit,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 20192 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 5.000e-01",22.0,37.0,21.0,1.0,0.045454545454545456,0,0,,20192,0,15.500000000000002,15.500000000000002,0.0000,60.182594,60.005022,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,
f2gap40400,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,40,400,800,400,optimal,"optimal within the relative gap target (1.020e-02 absolute, 4.912e-07 relative) after 542 nodes; the bound is the best open node's, the tree was not exhausted",20772.0,20771.99999999983,20771.98979591837,0.010204081630945439,4.912421351312073e-07,1,1,1,542,0,20650.89815396325,20650.89815396325,0.0000,29.159522,29.0273057,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,
flugpl,d0b817caf496c95336f64815a740d6a54db1e37924785fcfd3c5da3ee6a15640,18,18,46,11,optimal,"optimal within the relative gap target (2.250e+01 absolute, 2.165e-05 relative) after 469 nodes; the bound is the best open node's, the tree was not exhausted",1201500.0,1201500.0,1201477.5,22.5,1.8726591760299626e-05,1,1,1,469,0,1167185.7255923203,1167185.7255923203,0.0000,0.100903,0.0352862,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,
gen-ip016,ba1599099bccf0cf78cbc7e4c181f03a3af877b1ba596dac67ad296c81220bee,24,28,672,28,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 14174 nodes",-9428.785976832,-9476.155197,-9502.390146962405,73.60417013040569,0.007806325258762119,0,0,1,14174,0,-9505.628172760296,-9505.628172760296,0.0000,60.103125,60.0022943,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,
gen-ip054,b5089ebc97c43bd583fcadf30955b8800861044d632d747c0b7ac73f19b9e6f3,27,30,532,30,feasible,"stopped at the time limit of 59.9998s after 60.01s, 0 iterations, 18191 nodes",6873.829366294,6840.96564179,6778.951143118141,94.8782231758587,0.013802819086708279,0,0,1,18191,0,6765.209042727767,6765.209042727767,0.0000,60.110819,60.0133051,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,
gr4x6,ecb539938284a6453b8b94f47dfdd88d635e47cfd2977365f7246bb62ed562c7,34,48,96,24,optimal,,202.34999999999997,202.3499999999979,202.34999999999997,0.0,0.0,1,1,1,71,0,185.55,185.55,0.0000,0.142292,0.0411603,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,
gt2,67e1ac3d5504e6b033cecd78b66091e3b64952a90147613d7c87e9652422a005,29,188,376,188,optimal,,21166.0,21165.99999999978,21166.0,0.0,0.0,1,1,1,263,0,13460.233074411899,13460.233074411899,0.0000,0.652683,0.5497309,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,
k16x240b,9419777aed4f6f709363418843c01d447253f8545ab886dda1834c98f82bed71,256,480,960,240,feasible,"stopped at the time limit of 59.9996s after 60.00s, 0 iterations, 21291 nodes",12066.0,11392.99999884458,6435.0779999999995,5630.9220000000005,0.46667677772252614,0,0,1,21291,0,3320.7709999999997,3320.7709999999997,0.0000,60.124996,60.0011734,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,
markshare1,83516aa1a1d503f01fcea273586406486623370158a119164bd2ffa3594d4752,6,62,312,50,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 27484 nodes",48.00000000000026,0.9999999999990905,0.0,48.00000000000026,1.0,0,0,1,27484,0,0.0,0.0,0.0000,60.091874,60.0009453,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,
markshare_4_0,1a1feb04f5637db9f69be53bd6224fcd9fe5b8d750870d9b2002b535d25f4353,4,34,123,30,feasible,"stopped at the time limit of 59.9998s after 60.07s, 0 iterations, 44915 nodes",9.999999999999917,1.0,0.0,9.999999999999917,1.0,0,0,1,44915,0,0.0,0.0,0.0000,60.151954,60.0670699,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,
markshare_5_0,5309e16f917ec25e9f70402a8c039d4595a91c9499f682b1483babfff5f55b4a,5,45,203,40,feasible,"stopped at the time limit of 59.9998s after 60.01s, 0 iterations, 10069 nodes",44.0,1.0,0.0,44.0,1.0,0,0,1,10069,0,0.0,0.0,0.0000,60.133406,60.0085919,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,
neos-1425699,66f7ae93f5715a025ebc2d2ff9b90abdd62b7bd1edefc48307ec38c19d9e722e,89,105,430,85,optimal,,3179698977.0,3179698976.996124,3179698977.0,0.0,0.0,1,1,1,3,0,3175561447.5053167,3175561447.5053167,0.0000,0.114755,0.0053088,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,
neos-3072252-nete,91c4f0c863a0597d78ae6ad67a22d711f522319eb4365f7d4b9ec6b3102c01d2,432,576,1292,144,feasible,"stopped at the time limit of 59.9994s after 60.06s, 0 iterations, 3286 nodes",12037590.0,11807698.0,10609241.0,1428349.0,0.11865738906209632,0,0,1,3286,0,10593526.0,10593526.0,0.0000,60.211116,60.057567,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,
neos-3611689-kaihu,60004f4ee9cef8f8e7e9d811d5de63e75e6e96b577a54c923ef1971b89a87039,323,421,1014,88,feasible,"stopped at the time limit of 59.9996s after 60.00s, 0 iterations, 3750 nodes",121.0,119.0,108.20410714285714,12.79589285714286,0.1057511806375443,0,0,1,3750,0,100.87875,100.87875,0.0000,60.150230,60.003248,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,
neos-5140963-mincio,cf5cafaab453d0d450f7e654dfc85e0492a1a20d9229c0371158a6cc88b1de4b,184,196,834,183,feasible,"stopped at the time limit of 59.9997s after 60.03s, 0 iterations, 3877 nodes",16379.0,14393.0,10776.500000000002,5602.499999999998,0.34205384944135775,0,0,1,3877,0,8877.000000000002,8877.000000000002,0.0000,60.111252,60.02999,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,
neos-5192052-neckar,a683554818c078fca80fe21c0f452463d5d6a051f6898d9da641d5d9f9575906,57,180,545,24,optimal,,-11670000.0,-11670000.0,-11670000.0,0.0,0.0,1,1,1,9,0,-11980000.0,-11980000.0,0.0000,0.103805,0.0057519,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,
neos5,2888e9aeb10a4cf16d3b9ad221302fd3de815ce1454b31e660ebd060589c1072,63,63,2016,53,feasible,"stopped at the time limit of 59.9998s after 60.03s, 0 iterations, 928 nodes",15.0,15.0,13.500000000000002,1.4999999999999982,0.09999999999999988,1,0,1,928,0,13.0,13.0,0.0000,60.205088,60.0260755,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,
noswot,f4ac4805801d06bd12e7f67204101928413f7df27fa347bfca1c918e29bca86b,182,128,735,100,feasible,"stopped at the time limit of 59.9996s after 60.01s, 0 iterations, 19454 nodes",-41.0,-41.00000885,-43.00000000000001,2.000000000000007,0.048780487804878224,1,0,1,19454,0,-43.00000000000001,-43.00000000000001,0.0000,60.121288,60.0065063,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,
opt1217,21f16d1bd1d917a2b17af6b7b40f6899d75ae4dbf0621f14da71ed2471280124,64,769,1542,768,feasible,"stopped at the time limit of 59.9994s after 60.39s, 0 iterations, 3696 nodes",-16.0,-16.00000000000012,-20.02139037433155,4.021390374331549,0.2513368983957218,1,0,1,3696,0,-20.02139037433155,-20.02139037433155,0.0000,60.512202,60.3850385,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,
p0201,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,133,201,1923,201,optimal,,7615.0,7614.999999999997,7615.0,0.0,0.0,1,1,1,612,0,6875.0,6875.0,0.0000,2.848593,2.7670032,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,
pk1,6c64530538b254a8ae648f8f8f188847366ae52da560fdec0ad290c642973ba0,45,86,915,55,feasible,"stopped at the time limit of 59.9998s after 60.69s, 0 iterations, 5849 nodes",18.999999999999922,11.0,0.0,18.999999999999922,1.0,0,0,1,5849,0,0.0,0.0,0.0000,60.920520,60.6869001,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,
ran12x21,15ad9b8724f5ba4f6ac958e442040a68abab37943e6a0a4cdf59f8a24e03e2b6,285,504,1008,252,feasible,"stopped at the time limit of 59.9997s after 63.18s, 0 iterations, 858 nodes",3837.0,3663.999999980964,3292.5320738869555,544.4679261130445,0.14189938131692587,0,0,1,858,0,3157.377442025726,3157.377442025726,0.0000,64.227680,63.1847971,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,
ran13x13,ddf6f7b055f8cc7442c39a5f3853c3813a8b1f18ae66378d752938337b9cc579,195,338,676,169,feasible,"stopped at the time limit of 59.9997s after 60.63s, 0 iterations, 2272 nodes",3414.0,3252.0,2880.240875790876,533.7591242091239,0.15634420744262564,0,0,1,2272,0,2691.439468864469,2691.439468864469,0.0000,61.452744,60.6295424,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,
rlp1,edd6f521c7abe8b2de7425601d1739599b44d27bc192e8c757fe9b5ba03fa2c3,68,461,836,450,feasible,"stopped at the time limit of 59.9997s after 60.09s, 0 iterations, 2752 nodes",17.999999999999996,14.99999999990919,13.25581395348837,4.744186046511626,0.26356589147286813,0,0,1,2752,0,13.244444444444444,13.244444444444444,0.0000,60.377645,60.0921181,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,
supportcase14,a8cb263fed392f55c3a506274e69b5172ae82d308cf05240bde0c8070df7c5f5,234,304,1129,304,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,124,0,272.00000000000017,272.00000000000017,0.0000,1.424626,1.2743932,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,
supportcase16,2063fbcfb893abb2c80662ba88e473b13cbc89402aeae2c2f2b7d4c19647b663,130,319,1076,319,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,124,0,272.0,272.0,0.0000,0.984785,0.8053158,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,
