instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options
b-ball,67c5cb2dc43704d11f456537f6a951cb8d5bfb6d74c90fb1827a3bc34abf3586,30,100,209,88,feasible,"stopped at the time limit of 59.9995s after 60.00s, 0 iterations, 58378 nodes",-1.5000000000000004,-1.50000000000001,-1.8181818181818183,0.3181818181818179,0.21212121212121188,1,0,1,58378,0,-1.8181818181818183,-1.8181818181818183,0.0000,60.139403,60.0001717,982a98b-dirty,Windows-AMD64,2026-09-18T10:15:23+00:00,
ej,8a427d75008db853496fc29759c11bb77fddd5e0a0934601710f95a0a1935b00,1,3,3,3,time_limit,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 55968 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 4.303e-01",46032.43027117661,25508.0,1.0,46031.43027117661,0.9999782761849829,0,0,,55968,0,1.0,1.0,0.0000,60.108422,60.0014731,982a98b-dirty,Windows-AMD64,2026-09-18T10:15:23+00:00,
enlight8,012d661241f3ef70a7ae28d89408a030ed0b7c538ccbd1e0d820af49fd7397a3,64,128,352,128,time_limit,"stopped at the time limit of 59.9994s after 60.00s, 0 iterations, 64094 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 5.000e-01",19.5,27.0,17.0,2.5,0.1282051282051282,0,0,,64094,0,1.0000000000000004,1.0000000000000004,0.0000,60.127222,60.0000681,982a98b-dirty,Windows-AMD64,2026-09-18T10:15:23+00:00,
enlight_hard,942168c2126a2a91ae3ec1ededea59bc1af0cad55f94223edf4c03d20e831f66,100,200,560,200,time_limit,"stopped at the time limit of 59.9992s after 60.00s, 0 iterations, 47148 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 5.000e-01",31.5,37.0,22.0,9.5,0.30158730158730157,0,0,,47148,0,15.500000000000002,15.500000000000002,0.0000,60.116687,60.0007479,982a98b-dirty,Windows-AMD64,2026-09-18T10:15:23+00:00,
f2gap40400,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,40,400,800,400,optimal,"optimal within the relative gap target (1.020e-02 absolute, 4.912e-07 relative) after 542 nodes; the bound is the best open node's, the tree was not exhausted",20772.0,20771.99999999983,20771.98979591837,0.010204081630945439,4.912421351312073e-07,1,1,1,542,0,20650.89815396325,20650.89815396325,0.0000,8.168114,8.0597345,982a98b-dirty,Windows-AMD64,2026-09-18T10:15:23+00:00,
flugpl,d0b817caf496c95336f64815a740d6a54db1e37924785fcfd3c5da3ee6a15640,18,18,46,11,optimal,"optimal within the relative gap target (2.250e+01 absolute, 2.165e-05 relative) after 469 nodes; the bound is the best open node's, the tree was not exhausted",1201500.0,1201500.0,1201477.5,22.5,1.8726591760299626e-05,1,1,1,469,0,1167185.7255923203,1167185.7255923203,0.0000,0.236981,0.1250387,982a98b-dirty,Windows-AMD64,2026-09-18T10:15:23+00:00,
gen-ip016,ba1599099bccf0cf78cbc7e4c181f03a3af877b1ba596dac67ad296c81220bee,24,28,672,28,feasible,"stopped at the time limit of 59.9996s after 60.00s, 0 iterations, 47350 nodes",-9428.785976832,-9476.155197,-9501.321057075029,72.53508024302937,0.007692939517479705,0,0,1,47350,0,-9505.628172760296,-9505.628172760296,0.0000,60.123845,60.0005502,982a98b-dirty,Windows-AMD64,2026-09-18T10:15:23+00:00,
gen-ip054,b5089ebc97c43bd583fcadf30955b8800861044d632d747c0b7ac73f19b9e6f3,27,30,532,30,feasible,"stopped at the time limit of 59.9995s after 60.00s, 0 iterations, 49869 nodes",6859.8671468699995,6840.96564179,6783.4059073240005,76.46123954599898,0.011146169147151268,0,0,1,49869,0,6765.209042727767,6765.209042727767,0.0000,60.106542,60.0006392,982a98b-dirty,Windows-AMD64,2026-09-18T10:15:23+00:00,
gr4x6,ecb539938284a6453b8b94f47dfdd88d635e47cfd2977365f7246bb62ed562c7,34,48,96,24,optimal,,202.34999999999997,202.3499999999979,202.34999999999997,0.0,0.0,1,1,1,71,0,185.55,185.55,0.0000,0.209048,0.1031671,982a98b-dirty,Windows-AMD64,2026-09-18T10:15:23+00:00,
gt2,67e1ac3d5504e6b033cecd78b66091e3b64952a90147613d7c87e9652422a005,29,188,376,188,optimal,,21166.0,21165.99999999978,21166.0,0.0,0.0,1,1,1,263,0,13460.233074411899,13460.233074411899,0.0000,0.609809,0.5090492,982a98b-dirty,Windows-AMD64,2026-09-18T10:15:23+00:00,
k16x240b,9419777aed4f6f709363418843c01d447253f8545ab886dda1834c98f82bed71,256,480,960,240,feasible,"stopped at the time limit of 59.9992s after 60.00s, 0 iterations, 37565 nodes",12066.0,11392.99999884458,6654.363,5411.637,0.4485029835902536,0,0,1,37565,0,3320.7709999999997,3320.7709999999997,0.0000,60.120388,60.0005808,982a98b-dirty,Windows-AMD64,2026-09-18T10:15:23+00:00,
markshare1,83516aa1a1d503f01fcea273586406486623370158a119164bd2ffa3594d4752,6,62,312,50,feasible,"stopped at the time limit of 59.9996s after 60.00s, 0 iterations, 67963 nodes",40.0,0.9999999999990905,0.0,40.0,1.0,0,0,1,67963,0,0.0,0.0,0.0000,60.108859,60.0009319,982a98b-dirty,Windows-AMD64,2026-09-18T10:15:23+00:00,
markshare_4_0,1a1feb04f5637db9f69be53bd6224fcd9fe5b8d750870d9b2002b535d25f4353,4,34,123,30,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 90439 nodes",3.9999999999995293,1.0,0.0,3.9999999999995293,1.0,0,0,1,90439,0,0.0,0.0,0.0000,60.121190,60.0000728,982a98b-dirty,Windows-AMD64,2026-09-18T10:15:23+00:00,
markshare_5_0,5309e16f917ec25e9f70402a8c039d4595a91c9499f682b1483babfff5f55b4a,5,45,203,40,feasible,"stopped at the time limit of 59.9996s after 60.00s, 0 iterations, 75969 nodes",42.000000000000185,1.0,0.0,42.000000000000185,1.0,0,0,1,75969,0,0.0,0.0,0.0000,60.104650,60.0009351,982a98b-dirty,Windows-AMD64,2026-09-18T10:15:23+00:00,
