instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
adlittle,db211f7bf735518a246a2a0e385ec51abc09cd601da7ae50d6c3fe083cb6f94b,56,97,383,optimal,"crossover: 74 pivots from the interior point's basis guess in 0.00s, after 48 interior point iterations",225494.96316238042,225494.96316,2.3804022930562496e-06,1.055634351959886e-11,1,1,,1,0.0,0,0.01634,0.0035087,122,ipm+crossover,77aa9e6,Windows-AMD64,2026-09-18T01:14:56+00:00,algorithm=ipm
afiro,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,27,32,83,optimal,"crossover: 8 pivots from the interior point's basis guess in 0.00s, after 13 interior point iterations",-464.75314285714285,-464.75314286,2.857177605619654e-09,6.147731649617561e-12,1,1,,1,0.0,0,0.015019,0.0007978,21,ipm+crossover,77aa9e6,Windows-AMD64,2026-09-18T01:14:56+00:00,algorithm=ipm
agg,d7844795d0c799f5cdc1416c8d242f5e8f351f5a3271f42a2d428f170abf1f03,488,163,2410,numerical_error,"the interior-point iteration stalled after 5 iterations (steps 6.8e-10 / 1.2e-09); the model may be infeasible or unbounded, which this method does not certify",0.0,-35991767.287,35991767.287,1.0,0,,,0,0.0,0,0.027731,0.0115055,5,ipm,77aa9e6,Windows-AMD64,2026-09-18T01:14:56+00:00,algorithm=ipm
bandm,696daa77a79a0715c2fad877285e49bd7fcd7f5513f3cb83fbe0be916b6d8c81,305,472,2494,optimal,"crossover: 167 pivots from the interior point's basis guess in 0.01s, after 38 interior point iterations",-158.62801845012086,-158.62801845,1.2084910849807784e-10,7.61839614961652e-13,1,1,,1,0.0,0,0.045915,0.0262789,205,ipm+crossover,77aa9e6,Windows-AMD64,2026-09-18T01:14:56+00:00,algorithm=ipm
beaconfd,7138e7b58b1d6160f1ad42112a61ed00b5db1c92d73dc48d77f6a26fc717dbfc,173,262,3375,numerical_error,"the interior-point iteration stalled after 170 iterations (steps 1.3e-08 / 4.5e-08); the model may be infeasible or unbounded, which this method does not certify",3.4335,33592.485807,33589.052307,0.9998977896420133,0,,,0,0.0,0,0.06999,0.0528472,170,ipm,77aa9e6,Windows-AMD64,2026-09-18T01:14:56+00:00,algorithm=ipm
blend,38e1d84a38f1e0adaa16d3dd0abe758f6cea13a21f33681aa92742b693260aef,74,83,491,optimal,"crossover: 29 pivots from the interior point's basis guess in 0.00s, after 14 interior point iterations",-30.812149845828223,-30.812149846,1.7177725908368302e-10,5.574984541560087e-12,1,1,,1,0.0,0,0.017196,0.0027991,43,ipm+crossover,77aa9e6,Windows-AMD64,2026-09-18T01:14:56+00:00,algorithm=ipm
boeing1,1d9d58afaf41bad6866d5355330b261d3776ca86753d121eb9b688ee6128ab9e,351,384,3485,optimal,"crossover: 314 pivots from the interior point's basis guess in 0.01s, after 25 interior point iterations",-335.213567507127,-335.21356751,2.8730369194818195e-09,8.570765619133575e-12,1,1,,1,0.0,0,0.045403,0.0280352,339,ipm+crossover,77aa9e6,Windows-AMD64,2026-09-18T01:14:56+00:00,algorithm=ipm
boeing2,e12e729b8c09bf6e6934af40b728e460d4eb360c42419b791b68fb2271ddd61a,166,143,1196,optimal,"crossover: 83 pivots from the interior point's basis guess in 0.00s, after 15 interior point iterations",-315.01872801520267,-315.01872802,4.797357178176753e-09,1.5228799913991706e-11,1,1,,1,0.0,0,0.020012,0.0052345,98,ipm+crossover,77aa9e6,Windows-AMD64,2026-09-18T01:14:56+00:00,algorithm=ipm
bore3d,c7cfe0d4abd466346e3cda4e16d00651f44f3ce1da317cf583c5fed5dfc0515a,233,315,1429,optimal,"crossover: 86 pivots from the interior point's basis guess in 0.00s, after 45 interior point iterations",1373.0803942084933,1373.0803942,8.49331627250649e-09,6.185592852671212e-12,1,1,,1,0.0,0,0.03376,0.0178833,131,ipm+crossover,77aa9e6,Windows-AMD64,2026-09-18T01:14:56+00:00,algorithm=ipm
brandy,56fa020b84a0a106b7883b7da006c2852449598898c41ec8dd2575151d0e0917,220,249,2148,numerical_error,"the interior-point iteration stalled after 13 iterations (steps 5.3e-07 / 5.2e-07); the model may be infeasible or unbounded, which this method does not certify",0.0,1518.5098965,1518.5098965,1.0,0,,,0,0.0,0,0.020691,0.0063516,13,ipm,77aa9e6,Windows-AMD64,2026-09-18T01:14:56+00:00,algorithm=ipm
