instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options
b-ball,67c5cb2dc43704d11f456537f6a951cb8d5bfb6d74c90fb1827a3bc34abf3586,30,100,209,88,feasible,"stopped at the time limit of 59.9991s after 60.00s, 0 iterations, 51865 nodes",-1.5000000000000004,-1.50000000000001,-1.8181818181818183,0.3181818181818179,0.21212121212121188,1,0,1,51865,0,-1.8181818181818183,-1.8181818181818183,0.0000,60.139275,60.0021721,778d1fc-dirty,Windows-AMD64,2026-09-18T13:43:01+00:00,conflict_analysis=false
ej,8a427d75008db853496fc29759c11bb77fddd5e0a0934601710f95a0a1935b00,1,3,3,3,time_limit,"stopped at the time limit of 59.9996s after 60.00s, 0 iterations, 45937 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 4.047e-01",37782.0,25508.0,1.0,37781.0,0.9999735323699116,0,0,,45937,0,1.0,1.0,0.0000,60.155261,60.001462,778d1fc-dirty,Windows-AMD64,2026-09-18T13:43:01+00:00,conflict_analysis=false
enlight8,012d661241f3ef70a7ae28d89408a030ed0b7c538ccbd1e0d820af49fd7397a3,64,128,352,128,time_limit,"stopped at the time limit of 59.9995s after 60.00s, 0 iterations, 49918 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 5.000e-01",20.0,27.0,16.0,4.0,0.2,0,0,,49918,0,1.0000000000000004,1.0000000000000004,0.0000,60.160025,60.0007368,778d1fc-dirty,Windows-AMD64,2026-09-18T13:43:01+00:00,conflict_analysis=false
enlight_hard,942168c2126a2a91ae3ec1ededea59bc1af0cad55f94223edf4c03d20e831f66,100,200,560,200,time_limit,"stopped at the time limit of 59.9995s after 60.00s, 0 iterations, 38578 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 5.000e-01",24.0,37.0,22.0,2.0,0.08333333333333333,0,0,,38578,0,15.500000000000002,15.500000000000002,0.0000,60.146720,60.0004593,778d1fc-dirty,Windows-AMD64,2026-09-18T13:43:01+00:00,conflict_analysis=false
f2gap40400,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,40,400,800,400,optimal,"optimal within the relative gap target (1.020e-02 absolute, 4.912e-07 relative) after 542 nodes; the bound is the best open node's, the tree was not exhausted",20772.0,20771.99999999983,20771.98979591837,0.010204081630945439,4.912421351312073e-07,1,1,1,542,0,20650.89815396325,20650.89815396325,0.0000,4.021577,3.8895999,778d1fc-dirty,Windows-AMD64,2026-09-18T13:43:01+00:00,conflict_analysis=false
flugpl,d0b817caf496c95336f64815a740d6a54db1e37924785fcfd3c5da3ee6a15640,18,18,46,11,optimal,"optimal within the relative gap target (2.250e+01 absolute, 2.165e-05 relative) after 469 nodes; the bound is the best open node's, the tree was not exhausted",1201500.0,1201500.0,1201477.5,22.5,1.8726591760299626e-05,1,1,1,469,0,1167185.7255923203,1167185.7255923203,0.0000,0.140902,0.0522711,778d1fc-dirty,Windows-AMD64,2026-09-18T13:43:01+00:00,conflict_analysis=false
gen-ip016,ba1599099bccf0cf78cbc7e4c181f03a3af877b1ba596dac67ad296c81220bee,24,28,672,28,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 39191 nodes",-9428.785976832,-9476.155197,-9501.498828301073,72.71285146907394,0.007711793612426963,0,0,1,39191,0,-9505.628172760296,-9505.628172760296,0.0000,60.125755,60.0004491,778d1fc-dirty,Windows-AMD64,2026-09-18T13:43:01+00:00,conflict_analysis=false
gen-ip054,b5089ebc97c43bd583fcadf30955b8800861044d632d747c0b7ac73f19b9e6f3,27,30,532,30,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 37663 nodes",6859.8671468699995,6840.96564179,6782.213379717559,77.6537671524402,0.011320010357324753,0,0,1,37663,0,6765.209042727767,6765.209042727767,0.0000,60.152560,60.0010682,778d1fc-dirty,Windows-AMD64,2026-09-18T13:43:01+00:00,conflict_analysis=false
gr4x6,ecb539938284a6453b8b94f47dfdd88d635e47cfd2977365f7246bb62ed562c7,34,48,96,24,optimal,,202.34999999999997,202.3499999999979,202.34999999999997,0.0,0.0,1,1,1,71,0,185.55,185.55,0.0000,0.287192,0.1263819,778d1fc-dirty,Windows-AMD64,2026-09-18T13:43:01+00:00,conflict_analysis=false
gt2,67e1ac3d5504e6b033cecd78b66091e3b64952a90147613d7c87e9652422a005,29,188,376,188,optimal,,21166.0,21165.99999999978,21166.0,0.0,0.0,1,1,1,263,0,13460.233074411899,13460.233074411899,0.0000,0.404138,0.2529448,778d1fc-dirty,Windows-AMD64,2026-09-18T13:43:01+00:00,conflict_analysis=false
