instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options
b-ball,67c5cb2dc43704d11f456537f6a951cb8d5bfb6d74c90fb1827a3bc34abf3586,30,100,209,88,feasible,"stopped at the time limit of 59.9999s after 60.01s, 0 iterations, 49985 nodes",-1.5000000000000004,-1.50000000000001,-1.8181818181818183,0.3181818181818179,0.21212121212121188,1,0,1,49985,0,-1.8181818181818183,-1.8181818181818183,0.0000,60.394230,60.0058651,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,mip_heuristics=false
ej,8a427d75008db853496fc29759c11bb77fddd5e0a0934601710f95a0a1935b00,1,3,3,3,time_limit,"stopped at the time limit of 59.9998s after 60.02s, 0 iterations, 26130 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 3.415e-01",21491.341534195337,25508.0,1.0,21490.341534195337,0.9999534696334145,0,0,,26130,0,1.0,1.0,0.0000,60.110796,60.0242811,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,mip_heuristics=false
enlight8,012d661241f3ef70a7ae28d89408a030ed0b7c538ccbd1e0d820af49fd7397a3,64,128,352,128,time_limit,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 38659 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 5.000e-01",18.000000000000004,27.0,15.0,3.0000000000000036,0.16666666666666682,0,0,,38659,0,1.0000000000000004,1.0000000000000004,0.0000,60.110935,60.0001729,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,mip_heuristics=false
enlight_hard,942168c2126a2a91ae3ec1ededea59bc1af0cad55f94223edf4c03d20e831f66,100,200,560,200,time_limit,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 20268 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 5.000e-01",28.0,37.0,21.0,7.0,0.25,0,0,,20268,0,15.500000000000002,15.500000000000002,0.0000,60.137472,60.0004031,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,mip_heuristics=false
f2gap40400,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,40,400,800,400,optimal,"optimal within the relative gap target (1.020e-02 absolute, 4.912e-07 relative) after 542 nodes; the bound is the best open node's, the tree was not exhausted",20772.0,20771.99999999983,20771.98979591837,0.010204081630945439,4.912421351312073e-07,1,1,1,542,0,20650.89815396325,20650.89815396325,0.0000,29.482282,29.3135788,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,mip_heuristics=false
flugpl,d0b817caf496c95336f64815a740d6a54db1e37924785fcfd3c5da3ee6a15640,18,18,46,11,optimal,"optimal within the relative gap target (2.250e+01 absolute, 2.165e-05 relative) after 469 nodes; the bound is the best open node's, the tree was not exhausted",1201500.0,1201500.0,1201477.5,22.5,1.8726591760299626e-05,1,1,1,469,0,1167185.7255923203,1167185.7255923203,0.0000,0.153922,0.0468153,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,mip_heuristics=false
gen-ip016,ba1599099bccf0cf78cbc7e4c181f03a3af877b1ba596dac67ad296c81220bee,24,28,672,28,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 15057 nodes",-9428.785976832,-9476.155197,-9502.348605870775,73.56262903877541,0.007801919485661281,0,0,1,15057,0,-9505.628172760296,-9505.628172760296,0.0000,60.115763,60.0041196,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,mip_heuristics=false
gen-ip054,b5089ebc97c43bd583fcadf30955b8800861044d632d747c0b7ac73f19b9e6f3,27,30,532,30,feasible,"stopped at the time limit of 59.9999s after 60.01s, 0 iterations, 19715 nodes",6876.50343755,6840.96564179,6779.695274477811,96.80816307218902,0.014078108729438866,0,0,1,19715,0,6765.209042727767,6765.209042727767,0.0000,60.125583,60.0061587,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,mip_heuristics=false
gr4x6,ecb539938284a6453b8b94f47dfdd88d635e47cfd2977365f7246bb62ed562c7,34,48,96,24,optimal,,202.34999999999997,202.3499999999979,202.34999999999997,0.0,0.0,1,1,1,71,0,185.55,185.55,0.0000,0.175851,0.0620953,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,mip_heuristics=false
gt2,67e1ac3d5504e6b033cecd78b66091e3b64952a90147613d7c87e9652422a005,29,188,376,188,optimal,,21166.0,21165.99999999978,21166.0,0.0,0.0,1,1,1,263,0,13460.233074411899,13460.233074411899,0.0000,0.390614,0.3116515,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,mip_heuristics=false
k16x240b,9419777aed4f6f709363418843c01d447253f8545ab886dda1834c98f82bed71,256,480,960,240,feasible,"stopped at the time limit of 59.9996s after 60.01s, 0 iterations, 23462 nodes",12066.0,11392.99999884458,6465.341,5600.659,0.4641686557268357,0,0,1,23462,0,3320.7709999999997,3320.7709999999997,0.0000,60.124367,60.0111608,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,mip_heuristics=false
markshare1,83516aa1a1d503f01fcea273586406486623370158a119164bd2ffa3594d4752,6,62,312,50,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 30310 nodes",40.0,0.9999999999990905,0.0,40.0,1.0,0,0,1,30310,0,0.0,0.0,0.0000,60.065981,60.0027466,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,mip_heuristics=false
markshare_4_0,1a1feb04f5637db9f69be53bd6224fcd9fe5b8d750870d9b2002b535d25f4353,4,34,123,30,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 48172 nodes",9.999999999999917,1.0,0.0,9.999999999999917,1.0,0,0,1,48172,0,0.0,0.0,0.0000,60.134507,60.0000581,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,mip_heuristics=false
markshare_5_0,5309e16f917ec25e9f70402a8c039d4595a91c9499f682b1483babfff5f55b4a,5,45,203,40,feasible,"stopped at the time limit of 59.9998s after 60.01s, 0 iterations, 11504 nodes",44.0,1.0,0.0,44.0,1.0,0,0,1,11504,0,0.0,0.0,0.0000,60.122115,60.0086352,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,mip_heuristics=false
neos-1425699,66f7ae93f5715a025ebc2d2ff9b90abdd62b7bd1edefc48307ec38c19d9e722e,89,105,430,85,optimal,,3179698977.0,3179698976.996124,3179698977.0,0.0,0.0,1,1,1,3,0,3175561447.5053167,3175561447.5053167,0.0000,0.185059,0.0046031,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,mip_heuristics=false
neos-3072252-nete,91c4f0c863a0597d78ae6ad67a22d711f522319eb4365f7d4b9ec6b3102c01d2,432,576,1292,144,feasible,"stopped at the time limit of 59.9995s after 60.01s, 0 iterations, 3441 nodes",12037590.0,11807698.0,10609394.0,1428196.0,0.11864467887675191,0,0,1,3441,0,10593526.0,10593526.0,0.0000,60.124122,60.0121588,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,mip_heuristics=false
neos-3611689-kaihu,60004f4ee9cef8f8e7e9d811d5de63e75e6e96b577a54c923ef1971b89a87039,323,421,1014,88,feasible,"stopped at the time limit of 59.9996s after 60.01s, 0 iterations, 4604 nodes",120.0,119.0,108.51,11.489999999999995,0.09574999999999996,0,0,1,4604,0,100.87875,100.87875,0.0000,60.128006,60.0058782,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,mip_heuristics=false
neos-5140963-mincio,cf5cafaab453d0d450f7e654dfc85e0492a1a20d9229c0371158a6cc88b1de4b,184,196,834,183,feasible,"stopped at the time limit of 59.9998s after 60.03s, 0 iterations, 4591 nodes",17006.0,14393.0,10813.857142857147,6192.142857142853,0.3641151862367901,0,0,1,4591,0,8877.000000000002,8877.000000000002,0.0000,60.109648,60.0289372,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,mip_heuristics=false
neos-5192052-neckar,a683554818c078fca80fe21c0f452463d5d6a051f6898d9da641d5d9f9575906,57,180,545,24,optimal,,-11670000.0,-11670000.0,-11670000.0,0.0,0.0,1,1,1,9,0,-11980000.0,-11980000.0,0.0000,0.171246,0.0102155,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,mip_heuristics=false
neos5,2888e9aeb10a4cf16d3b9ad221302fd3de815ce1454b31e660ebd060589c1072,63,63,2016,53,feasible,"stopped at the time limit of 59.9997s after 60.14s, 0 iterations, 1640 nodes",16.0,15.0,13.625,2.375,0.1484375,0,0,1,1640,0,13.0,13.0,0.0000,60.303220,60.1377567,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,mip_heuristics=false
noswot,f4ac4805801d06bd12e7f67204101928413f7df27fa347bfca1c918e29bca86b,182,128,735,100,feasible,"stopped at the time limit of 59.9996s after 60.00s, 0 iterations, 21861 nodes",-41.0,-41.00000885,-43.0,2.0,0.04878048780487805,1,0,1,21861,0,-43.00000000000001,-43.00000000000001,0.0000,60.103936,60.0028858,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,mip_heuristics=false
opt1217,21f16d1bd1d917a2b17af6b7b40f6899d75ae4dbf0621f14da71ed2471280124,64,769,1542,768,feasible,"stopped at the time limit of 59.9994s after 60.01s, 0 iterations, 4563 nodes",-13.999999999999996,-16.00000000000012,-20.02139037433155,6.021390374331553,0.43009931245225386,0,0,1,4563,0,-20.02139037433155,-20.02139037433155,0.0000,60.148624,60.0099598,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,mip_heuristics=false
p0201,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,133,201,1923,201,optimal,,7615.0,7614.999999999997,7615.0,0.0,0.0,1,1,1,612,0,6875.0,6875.0,0.0000,2.898362,2.7890962,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,mip_heuristics=false
pk1,6c64530538b254a8ae648f8f8f188847366ae52da560fdec0ad290c642973ba0,45,86,915,55,feasible,"stopped at the time limit of 59.9997s after 62.35s, 0 iterations, 7164 nodes",19.999999999999996,11.0,0.0,19.999999999999996,1.0,0,0,1,7164,0,0.0,0.0,0.0000,62.543153,62.3498418,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,mip_heuristics=false
ran12x21,15ad9b8724f5ba4f6ac958e442040a68abab37943e6a0a4cdf59f8a24e03e2b6,285,504,1008,252,feasible,"stopped at the time limit of 59.9996s after 60.52s, 0 iterations, 1397 nodes",4095.0,3663.999999980964,3302.090754450228,792.9092455497721,0.19362863139188574,0,0,1,1397,0,3157.377442025726,3157.377442025726,0.0000,61.271069,60.5189686,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,mip_heuristics=false
ran13x13,ddf6f7b055f8cc7442c39a5f3853c3813a8b1f18ae66378d752938337b9cc579,195,338,676,169,feasible,"stopped at the time limit of 59.9997s after 61.08s, 0 iterations, 2081 nodes",3349.0,3252.0,2875.4284659784657,473.57153402153426,0.1414068480207627,0,0,1,2081,0,2691.439468864469,2691.439468864469,0.0000,62.196637,61.0847746,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,mip_heuristics=false
rlp1,edd6f521c7abe8b2de7425601d1739599b44d27bc192e8c757fe9b5ba03fa2c3,68,461,836,450,feasible,"stopped at the time limit of 59.9997s after 60.02s, 0 iterations, 3629 nodes",14.999999999999998,14.99999999990919,13.25581395348837,1.7441860465116275,0.11627906976744184,1,0,1,3629,0,13.244444444444444,13.244444444444444,0.0000,60.344686,60.0159812,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,mip_heuristics=false
supportcase14,a8cb263fed392f55c3a506274e69b5172ae82d308cf05240bde0c8070df7c5f5,234,304,1129,304,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,124,0,272.00000000000017,272.00000000000017,0.0000,1.360994,1.1983693,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,mip_heuristics=false
supportcase16,2063fbcfb893abb2c80662ba88e473b13cbc89402aeae2c2f2b7d4c19647b663,130,319,1076,319,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,127,0,272.0,272.0,0.0000,0.978002,0.8041665,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,mip_heuristics=false
timtab1,5867d1a9c1067a849211c1a61bdb8839fb0025255dde09989d0ed333e0674d7a,171,397,829,171,time_limit,"stopped at the time limit of 59.9995s after 60.01s, 0 iterations, 4903 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 5.000e-01",571918.3333334199,764771.99999978,203930.66666658,367987.66666683985,0.6434269461551052,0,0,,4903,0,28693.99999999998,28693.99999999998,0.0000,60.237800,60.0113533,afe165d-dirty,Windows-AMD64,2026-09-18T11:27:20+00:00,mip_heuristics=false
